Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,pensais,thought
4,4,aide,help
5,5,demande,request
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
11,11,laisse,leash
12,12,eux,them
13,13,ville,city
14,15,parlé,speak
15,16,arrivé,come
16,17,devrait,should
18,19,longtemps,long time
19,20,pendant,while
20,21,aucune,any
21,22,compris,understood
22,23,savais,knew
24,25,voici,here is
25,26,pourrais,could
26,27,affaire,case
27,28,leurs,their
28,29,donné,given
29,30,train,train
30,31,corps,body
32,33,yeux,eyes
33,34,façon,way
34,35,écoute,listen
35,36,dont,whose
36,37,trouve,find
37,39,perdu,lost
38,40,première,first
39,41,pouvoir,power
40,43,sois,be
41,44,tiens,here
42,45,matin,morning
43,47,enfant,child
44,48,suite,after
45,49,pardon,sorry
46,50,venez,come
47,51,devant,in front of
48,52,vers,towards
49,53,demandé,request
50,55,droit,law
51,56,aujourd'hui,today
52,57,mari,husband
53,58,cause,cause
54,60,espère,hope
55,61,parti,left
56,62,nouvelle,new
57,63,boulot,job
58,64,arrêter,Stop
59,65,dirait,would say
60,66,terre,Earth
61,67,compte,account
62,68,donne,given
63,69,fin,end
64,70,chérie,sweetheart
65,71,gros,large
66,72,plutôt,rather
67,73,filles,girls
68,74,jouer,to play
69,75,bureau,office
